order_date,cum_revenue
2015-03-27,195931.59999999995
2015-03-28,198183.69999999995
2015-03-29,200337.94999999995
2015-03-30,202593.39999999997
2015-03-31,205349.99999999997
2015-04-01,207526.84999999998
2015-04-02,210073.99999999997
2015-04-03,212612.19999999998
2015-04-04,215379.74999999997
2015-04-05,217289.59999999998
2015-04-06,219911.94999999998
2015-04-07,222146.19999999998
2015-04-08,224440.15
2015-04-09,226487.44999999998
2015-04-10,228912.4
2015-04-11,231456.15
2015-04-12,233450.44999999998
2015-04-13,235946.65
2015-04-14,238452.35
2015-04-15,241031.2
2015-04-16,243049.15000000002
2015-04-17,245724.80000000002
2015-04-18,248011.00000000003
2015-04-19,249538.95000000004
2015-04-20,251998.40000000005
2015-04-21,254211.55000000005
2015-04-22,256405.00000000006
2015-04-23,258831.15000000005
2015-04-24,261810.35000000006
2015-04-25,263899.55000000005
2015-04-26,265666.95000000007
2015-04-27,267847.75000000006
2015-04-28,269590.55000000005
2015-04-29,271419.30000000005
2015-04-30,274086.80000000005
2015-05-01,276658.75000000006
2015-05-02,279058.95000000007
2015-05-03,280891.20000000007
2015-05-04,283180.1000000001
2015-05-05,284893.70000000007
2015-05-06,287203.50000000006
2015-05-07,289432.35000000003
2015-05-08,292484.65
2015-05-09,294853.05000000005
2015-05-10,297141.4
2015-05-11,299529.45
2015-05-12,301829.15
2015-05-13,304090.95
2015-05-14,306785.45
2015-05-15,310171.60000000003
2015-05-16,312452.7
2015-05-17,314281.10000000003
2015-05-18,316490.75000000006
2015-05-19,318477.75000000006
2015-05-20,320850.75000000006
2015-05-21,322913.30000000005
2015-05-22,325548.4
2015-05-23,327992.55000000005
2015-05-24,330189.50000000006
2015-05-25,332293.9000000001
2015-05-26,334170.3500000001
2015-05-27,336267.3500000001
2015-05-28,338283.7500000001
2015-05-29,341284.9500000001
2015-05-30,343771.90000000014
2015-05-31,345489.55000000016
2015-06-01,348557.30000000016
2015-06-02,351007.2500000002
2015-06-03,352914.30000000016
2015-06-04,355197.90000000014
2015-06-05,357898.05000000016
2015-06-06,360179.0000000002
2015-06-07,362139.7500000002
2015-06-08,364404.7000000002
2015-06-09,366847.2500000002
2015-06-10,368866.6500000002
2015-06-11,371517.1500000002
2015-06-12,373655.7500000002
2015-06-13,376164.6500000002
2015-06-14,378023.6500000002
2015-06-15,380619.2500000002
2015-06-16,382517.55000000016
2015-06-17,384654.65000000014
2015-06-18,386639.15000000014
2015-06-19,389432.60000000015
2015-06-20,391493.2000000001
2015-06-21,393418.40000000014
2015-06-22,395737.7000000001
2015-06-23,397780.4500000001
2015-06-24,400107.9500000001
2015-06-25,402507.10000000015
2015-06-26,405252.60000000015
2015-06-27,408065.5000000002
2015-06-28,409635.2000000002
2015-06-29,411508.80000000016
2015-06-30,413719.7500000002
2015-07-01,415951.2500000002
2015-07-02,418246.05000000016
2015-07-03,421689.05000000016
2015-07-04,425553.2500000002
2015-07-05,427144.7000000002
2015-07-06,429261.6000000002
2015-07-07,431636.00000000023
2015-07-08,434032.0500000002
2015-07-09,436329.8000000002
2015-07-10,438762.20000000024
2015-07-11,440847.75000000023
2015-07-12,443033.40000000026
2015-07-13,445092.90000000026
2015-07-14,447049.40000000026
2015-07-15,449551.20000000024
2015-07-16,452015.10000000027
2015-07-17,455146.7500000003
2015-07-18,457268.9500000003
2015-07-19,459291.6500000003
2015-07-20,461792.6500000003
2015-07-21,463823.5000000003
2015-07-22,466115.60000000027
2015-07-23,468330.10000000027
2015-07-24,471534.5000000003
2015-07-25,473771.7500000003
2015-07-26,475643.3000000003
2015-07-27,477815.3000000003
2015-07-28,479909.85000000027
2015-07-29,481833.10000000027
2015-07-30,484182.2500000003
2015-07-31,486277.6500000003
2015-08-01,488718.2000000003
2015-08-02,490628.3500000003
2015-08-03,492610.6000000003
2015-08-04,494700.75000000035
2015-08-05,496795.6000000003
2015-08-06,498894.8500000003
2015-08-07,501521.25000000035
2015-08-08,504237.6500000004
2015-08-09,506240.3000000004
2015-08-10,508379.7500000004
2015-08-11,510669.7500000004
2015-08-12,513035.5000000004
2015-08-13,515109.65000000043
2015-08-14,518126.2500000004
2015-08-15,520378.6000000004
2015-08-16,522517.9000000004
2015-08-17,525143.9000000004
2015-08-18,527245.1000000003
2015-08-19,529578.0500000003
2015-08-20,531485.7500000002
2015-08-21,534087.1500000003
2015-08-22,536493.1500000003
2015-08-23,538194.7500000002
2015-08-24,539891.8000000003
2015-08-25,541850.7000000003
2015-08-26,544180.1000000003
2015-08-27,546297.7500000003
2015-08-28,548944.9500000003
2015-08-29,550979.9500000003
2015-08-30,552474.5500000003
2015-08-31,554555.9000000003
2015-09-01,556908.7500000002
2015-09-02,558774.3000000003
2015-09-03,561026.9000000003
2015-09-04,563987.8500000002
2015-09-05,566525.6500000003
2015-09-06,568017.3000000003
2015-09-07,570300.6500000003
2015-09-08,572550.1500000003
2015-09-09,575130.2500000002
2015-09-10,577546.1000000002
2015-09-11,580308.0000000002
2015-09-12,582896.1500000003
2015-09-13,584734.3000000003
2015-09-14,586899.5500000003
2015-09-15,589449.7500000002
2015-09-16,591635.0000000002
2015-09-17,593877.0500000003
2015-09-18,596598.6000000003
2015-09-19,598885.1500000004
2015-09-20,600714.1500000004
2015-09-21,602845.6000000003
2015-09-22,605016.0000000003
2015-09-23,607179.0000000003
2015-09-26,609425.8500000003
2015-09-27,611740.5500000003
2015-09-28,613775.8500000003
2015-09-29,616537.9000000004
2015-09-30,618735.9500000004
2015-10-01,621938.1000000004
2015-10-02,624012.9500000004
2015-10-03,626413.9000000004
2015-10-04,628556.1000000003
2015-10-06,630772.0500000003
2015-10-07,632864.4000000003
2015-10-08,634840.2500000002
2015-10-09,637352.8500000002
2015-10-10,639663.0500000002
2015-10-11,641579.3000000002
2015-10-13,643905.2500000001
2015-10-14,646051.6000000001
2015-10-15,650371.8
2015-10-16,652926.9
2015-10-17,655266.7000000001
2015-10-18,657062.0000000001
2015-10-20,659499.1500000001
2015-10-21,661959.6500000001
2015-10-22,664360.5500000002
2015-10-23,666971.2000000002
2015-10-24,669650.7000000002
2015-10-25,671487.7500000002
2015-10-27,673476.4000000003
2015-10-28,675112.3500000002
2015-10-29,677282.1000000002
2015-10-30,680018.7000000002
2015-10-31,682763.5500000002
2015-11-01,684750.2000000002
2015-11-02,687049.3000000002
2015-11-03,688877.8500000002
2015-11-04,690843.9500000002
2015-11-05,693024.3000000002
2015-11-06,696181.8000000002
2015-11-07,698762.7500000001
2015-11-08,700872.9000000001
2015-11-09,703356.6500000001
2015-11-10,705399.2500000001
2015-11-11,707345.4500000001
2015-11-12,709910.2500000001
2015-11-13,712174.8000000002
2015-11-14,714499.5500000002
2015-11-15,716321.2000000002
2015-11-16,718577.8500000002
2015-11-17,720534.4000000003
2015-11-18,722646.1000000002
2015-11-19,725341.0000000002
2015-11-20,727729.1000000002
2015-11-21,729813.0500000002
2015-11-22,731181.7500000001
2015-11-23,733646.9000000001
2015-11-24,735876.9500000002
2015-11-25,738240.2000000002
2015-11-26,742646.1500000001
2015-11-27,747068.6000000001
2015-11-28,749036.6500000001
2015-11-29,750935.6500000001
2015-11-30,753158.9000000001
2015-12-01,755235.6000000001
2015-12-02,757449.7000000001
2015-12-03,759692.9
2015-12-04,762571.25
2015-12-05,765199.2
2015-12-06,767549.45
2015-12-07,769964.25
2015-12-08,771820.5
2015-12-09,774392.05
2015-12-10,776377.65
2015-12-11,779011.65
2015-12-12,780971.8
2015-12-13,783216.9500000001
2015-12-14,785389.55
2015-12-15,787777
2015-12-16,790011.8
2015-12-17,791892.55
2015-12-18,794778.8500000001
2015-12-19,797083.05
2015-12-20,799187.9500000001
2015-12-21,801288.65
2015-12-22,803171.6
2015-12-23,805415.9
2015-12-24,807553.75
2015-12-26,809196.8
2015-12-27,810615.8
2015-12-28,812253
2015-12-29,813606.25
2015-12-30,814944.05
2015-12-31,817860.05
